File, Hyper-heuristic
0.bpp, 2.8571
100.bpp, 3.0000
104.bpp, 30.0000
11.bpp, 1.9677
110.bpp, 0.1750
117.bpp, 0.5312
119.bpp, 1.3333
135.bpp, 4.4615
14.bpp, 11.4091
141.bpp, 6.7500
143.bpp, 5.1538
145.bpp, 6.8000
151.bpp, 2.0000
168.bpp, 2.3333
17.bpp, 1.7619
173.bpp, 4.0000
178.bpp, 1.8462
179.bpp, 0.7222
18.bpp, 3.4286
184.bpp, 0.7250
194.bpp, 7.0000
197.bpp, 6.6000
202.bpp, 0.1579
208.bpp, 7.3750
210.bpp, 3.5000
215.bpp, 2.4000
223.bpp, 1.8000
226.bpp, 3.9000
229.bpp, 1.2667
233.bpp, 14.9375
237.bpp, 5.5000
239.bpp, 0.8182
240.bpp, 2.8000
244.bpp, 0.6129
246.bpp, 10.4643
255.bpp, 4.9000
256.bpp, 3.1875
261.bpp, 1.5769
262.bpp, 1.5500
264.bpp, 13.5217
292.bpp, 0.2273
294.bpp, 2.5000
307.bpp, 6.9167
31.bpp, 6.3929
310.bpp, 0.6316
311.bpp, 4.8000
317.bpp, 0.6333
326.bpp, 3.1765
327.bpp, 3.3750
330.bpp, 1.2857
332.bpp, 21.0000
337.bpp, 4.1111
348.bpp, 0.8750
357.bpp, 11.0000
358.bpp, 4.3529
359.bpp, 2.0800
36.bpp, 18.0000
363.bpp, 9.5000
366.bpp, 2.4000
368.bpp, 5.6364
380.bpp, 28.0000
385.bpp, 1.2778
394.bpp, 2.1000
401.bpp, 4.8000
409.bpp, 0.7931
41.bpp, 5.0000
410.bpp, 4.6000
433.bpp, 0.9444
438.bpp, 5.1333
441.bpp, 2.5000
443.bpp, 11.0000
447.bpp, 3.8571
449.bpp, 0.7500
452.bpp, 6.7500
47.bpp, 1.2778
470.bpp, 3.0000
473.bpp, 4.4444
478.bpp, 1.0357
483.bpp, 1.5455
484.bpp, 0.8966
488.bpp, 4.6667
489.bpp, 1.6800
492.bpp, 5.1818
5.bpp, 4.0400
50.bpp, 3.8750
55.bpp, 4.0000
58.bpp, 2.1250
59.bpp, 3.1364
6.bpp, 8.5882
63.bpp, 5.6000
7.bpp, 3.0000
71.bpp, 0.4667
72.bpp, 1.5000
78.bpp, 6.9000
80.bpp, 4.6667
81.bpp, 3.7692
83.bpp, 3.0000
87.bpp, 2.1000
97.bpp, 2.5000
99.bpp, 5.0870
