File, Hyper-heuristic
0.bpp, 2.8571
100.bpp, 3.0000
104.bpp, 30.0000
11.bpp, 1.3448
110.bpp, 0.0270
117.bpp, 0.1786
119.bpp, 2.7500
135.bpp, 4.4615
14.bpp, 4.6000
141.bpp, 6.7500
143.bpp, 6.9286
145.bpp, 11.7143
151.bpp, 2.0000
168.bpp, 3.7000
17.bpp, 2.4091
173.bpp, 4.0000
178.bpp, 0.9091
179.bpp, 0.5294
18.bpp, 3.9333
184.bpp, 0.2571
194.bpp, 8.1000
197.bpp, 5.7917
202.bpp, 0.0000
208.bpp, 9.8889
210.bpp, 9.8750
215.bpp, 3.0000
223.bpp, 1.5172
226.bpp, 7.1538
229.bpp, 0.6429
233.bpp, 5.9000
237.bpp, 14.2500
239.bpp, 0.4000
240.bpp, 2.8000
244.bpp, 0.3103
246.bpp, 4.5263
255.bpp, 6.0909
256.bpp, 4.1765
261.bpp, 0.7917
262.bpp, 1.1053
264.bpp, 4.2143
292.bpp, 0.0500
294.bpp, 4.3125
307.bpp, 8.6154
31.bpp, 6.3929
310.bpp, 0.3889
311.bpp, 7.4286
317.bpp, 0.4483
326.bpp, 3.1765
327.bpp, 4.4706
330.bpp, 0.4118
332.bpp, 21.0000
337.bpp, 8.4545
348.bpp, 0.6957
357.bpp, 11.5000
358.bpp, 4.3529
359.bpp, 2.0800
36.bpp, 18.0000
363.bpp, 2.6667
366.bpp, 2.4000
368.bpp, 5.6364
380.bpp, 28.0000
385.bpp, 0.9412
394.bpp, 3.5833
401.bpp, 4.8000
409.bpp, 0.4815
41.bpp, 7.2222
410.bpp, 6.6667
433.bpp, 1.6500
438.bpp, 5.1333
441.bpp, 1.8571
443.bpp, 11.0000
447.bpp, 3.8571
449.bpp, 0.3333
452.bpp, 9.0000
47.bpp, 1.2778
470.bpp, 4.5833
473.bpp, 4.4444
478.bpp, 0.5769
483.bpp, 2.0435
484.bpp, 0.7143
488.bpp, 5.6000
489.bpp, 1.6800
492.bpp, 5.1818
5.bpp, 4.9615
50.bpp, 8.5000
55.bpp, 6.8000
58.bpp, 4.7000
59.bpp, 3.6087
6.bpp, 2.9091
63.bpp, 8.1667
7.bpp, 6.3333
71.bpp, 0.0769
72.bpp, 1.5000
78.bpp, 6.9000
80.bpp, 4.6667
81.bpp, 3.0000
83.bpp, 3.0000
87.bpp, 3.5833
97.bpp, 2.0588
99.bpp, 5.0870
